"FILE","BUSTED.LR","BUSTED.SRV.LR","BUSTED.omega3.MLE","BUSTED.SRV.omega3.MLE","BUSTED.omega3.prop","BUSTED.SRV.omega3.prop","CV.SRV","BUSTED.P","BUSTED.SRV.P","BUSTED.AICc","BUSTED.SRV.AICc","BUSTED.treelength","BUSTED.SRV.treelength","Sites","Sequences","BUSTED.omega1.MLE","BUSTED.SRV.omega1.MLE","BUSTED.omega1.prop","BUSTED.SRV.omega1.prop","BUSTED.omega2.MLE","BUSTED.SRV.omega2.MLE","BUSTED.omega2.prop","BUSTED.SRV.omega2.prop","SRV.alpha3.MLE","SRV.alpha3.prop","SRV.alpha1.MLE","SRV.alpha1.prop","SRV.alpha2.MLE","SRV.alpha2.prop"
"1000_Codons/O3_2_25_A3_0001/1000_Codons_O3_2_25_A3_0001_sim_replicate.6.BUSTED.json",3.8289854353261,0,2.53924812677403,1.04170127201043,0.156928781126717,0,1.15968964044321,0.147416595412353,1,16309.2188325267,16086.3670737851,1.55851490142149,8.57019206282305,1000,5,0.37172519036909,0.487835177269831,0.567027515176626,1,0.341341850203511,0.518316049985054,0.276043703696656,0,3.92684089557879,0.0813334232249289,0,0.278740784926789,0.829165151037229,0.639925791848282
"1000_Codons/O3_2_25_A3_0001/1000_Codons_O3_2_25_A3_0001_sim_replicate.70.BUSTED.json",0.181649713338629,0,1.08346759556534,1.04228706850803,0.440616654779332,0,0.835511775821091,0.913177633861927,1,16180.9930113618,15960.0505207442,1.46859827492599,1.83701059299819,1000,5,0.999795742754087,0.546875822109156,0.192788581059172,1,0,0.498487638529302,0.366594764161495,0,1.88035955337258,0.517315755179864,0,0.31442755901429,4.18270837318092,0.168256685805845
"1000_Codons/O3_2_25_A3_0001/1000_Codons_O3_2_25_A3_0001_sim_replicate.71.BUSTED.json",-0.0675710171908577,0,1.31280270290457,1.0143099967822,0.339673232219058,0,0.960413007292544,1,1,16035.4591653473,15861.9569514261,1.38698533759155,6.53925887897287,1000,5,1,0.609882962998092,0.170733086939706,1,0.178604360342234,0.621253284189494,0.489593680841237,0,4.64117421294057,0.0590856133888273,0,0.289206904022888,1.26072110804609,0.651707482588285
"1000_Codons/O3_2_25_A3_0001/1000_Codons_O3_2_25_A3_0001_sim_replicate.72.BUSTED.json",0.799712931202521,0,1.73010744166828,1.55009716818666,0.303164245590539,0,0.950259887673087,0.670416266908619,1,16448.8509024639,16269.5541514664,1.41691469873783,7.32737028225896,1000,5,0.511856779331184,0.687597988245186,0.327559589644637,1,0.282729920162171,0.886874496138764,0.369276164764824,0,5.20411012277907,0.0436674496600725,0,0.289550335672506,1.33018912269771,0.666782214667421
"1000_Codons/O3_2_25_A3_0001/1000_Codons_O3_2_25_A3_0001_sim_replicate.73.BUSTED.json",1.23999790465678,0,2.26555506793201,1.04170128331188,0.109669075632436,0,1.01415775794085,0.537945001160071,1,16170.392649547,15977.5824043185,1.47242668803116,7.95112764085199,1000,5,0.364733165038566,0.469332808867036,0.555387816691677,1,0.395248610599402,0.485697712371663,0.334943107675886,0,2.66838370665923,0.0507110638109187,0,0.289307847863052,0.640719625406524,0.659981088326029
"1000_Codons/O3_2_25_A3_0001/1000_Codons_O3_2_25_A3_0001_sim_replicate.74.BUSTED.json",9.8696042090578,0,5.64445686573342,1.00217600158191,0.0615671095712889,7.21644966006352e-15,1.17935652660311,0.00719188404673454,1,15976.6421153054,15802.1710457673,1.5575927455128,8.57357777984629,1000,5,0.56089064392165,0.688232076723804,0.625510419726309,0,0.604605652175875,0.675534252330676,0.312922470702402,0.999999999999993,5.10608674450408,0.0701921838041821,0,0.244309304921241,0.955755060043463,0.685498511274577
"1000_Codons/O3_2_25_A3_0001/1000_Codons_O3_2_25_A3_0001_sim_replicate.75.BUSTED.json",1.96874314360139,0,2.93682739232645,1.68096514745308,0.101735163985362,0,0.946011429189395,0.373673980400175,1,16118.3734192019,15921.9839260096,1.4183996217944,7.48548048677362,1000,5,0.470885977322104,0.629645109180935,0.377101460517896,1,0.530099688683564,0.571207046874823,0.521163375496742,0,3.98298090039178,0.0369754874047752,0,0.313145592463878,1.04818381770224,0.649878920131347
"1000_Codons/O3_2_25_A3_0001/1000_Codons_O3_2_25_A3_0001_sim_replicate.76.BUSTED.json",4.06907875940124,0,2.15837479794928,1.00193084936733,0.264809277042357,0,0.918980294393819,0.130740690459232,1,16219.9478466823,16027.3927021977,1.47013056931399,5.06271884538912,1000,5,0.300429847342833,0.786743828871279,0.222703228435465,1,0.555003330747246,0.733123367958714,0.512487494522179,0,6.41294928151875,0.133325748562955,0,0.272122162597687,2.07308904968591,0.594552088839358
"1000_Codons/O3_2_25_A3_0001/1000_Codons_O3_2_25_A3_0001_sim_replicate.77.BUSTED.json",0.664883504547106,0,2.180269872713,1.89607909063201,0.176799982363221,0,0.960519428354418,0.717170441180377,1,16189.6803149896,15998.1218450503,1.45471878941124,5.74544428424854,1000,5,0.469641270235054,0.55822811474754,0.547816029085747,1,0.265325019931179,0.818154767530533,0.275383988551032,0,3.02924631467826,0.0974391044211401,0,0.277644497055291,0.885348771859881,0.624916398523569
"1000_Codons/O3_2_25_A3_0001/1000_Codons_O3_2_25_A3_0001_sim_replicate.78.BUSTED.json",7.83519426491694,0,2.59942455574885,1.00040016006403,0.232110637763152,0,1.01817758211894,0.0198888275928421,1,16219.8914667841,16030.6517608981,1.5361667186137,5.95442606876382,1000,5,0.458752755548703,0.758164647452068,0.471851106177302,1,0.462183270150723,0.81343299172675,0.296038256059545,0,3.26319892923714,0.128746470216281,0,0.244499034770057,0.831351382347116,0.626754495013662
"1000_Codons/O3_2_25_A3_0001/1000_Codons_O3_2_25_A3_0001_sim_replicate.79.BUSTED.json",2.72848150235404,0,1.39285427471548,2.25650527036691,0.462438272508038,0,0.985966017073009,0.25557464705389,1,16278.2355914141,16102.3623079292,1.49440379141731,6.4502819486802,1000,5,1,0.559031582685915,0.0334963555494611,1,0.0884566136717684,0.61843510015787,0.504065371942501,0,3.04909375191803,0.0866374364572457,0,0.275169368546761,0.832380070997124,0.638193194995994
